,State Name,Year,Defining Parameter,AQI,Latitude,Longitude
10170,Washington,1985,PM10,64.89340101522842,46.90422280203045,-121.12198296954314
10171,Washington,1985,SO2,51.79614052449283,47.631746216229594,-122.58832512914398
10172,Washington,1986,CO,55.18117854001759,47.236302941073,-120.69129165347407
10173,Washington,1986,NO2,59.7,47.386111,-122.230278
10174,Washington,1986,Ozone,39.82424242424243,46.41926466060606,-122.13273468282829
10175,Washington,1986,PM10,39.98943661971831,46.72089118192488,-120.5520024483568
10176,Washington,1986,SO2,56.687102371312896,47.69917116367842,-122.60718119780219
10177,Washington,1987,CO,53.744919786096254,47.08640015080214,-121.26216733850266
10178,Washington,1987,NO2,44.0,47.386111,-122.230278
10179,Washington,1987,Ozone,55.294871794871796,47.4134315,-122.46433291666665
10180,Washington,1987,PM10,40.41823056300268,46.815177534852545,-120.39663895040215
10181,Washington,1987,SO2,56.03273495248152,47.652348247624076,-122.61284249208025
10182,Washington,1988,CO,48.70168674698795,47.27745219180723,-121.26910815951807
10183,Washington,1988,Ozone,45.275862068965516,46.775993448275855,-122.47318703448276
10184,Washington,1988,PM10,36.9075723830735,46.92023585634744,-120.30829094097996
10185,Washington,1988,PM2.5,41.25,47.14,-122.3003
10186,Washington,1988,SO2,60.355297157622736,47.759468990956066,-122.72095939147286
10187,Washington,1989,CO,44.1849593495935,47.281227646849594,-121.24093652489837
10188,Washington,1989,Ozone,42.58174904942966,46.99179518631179,-122.38426522813688
10189,Washington,1989,PM10,33.614872364039954,46.82313465593785,-120.94426588124307
10190,Washington,1989,PM2.5,53.375,47.14,-122.3003
10191,Washington,1989,SO2,60.79777623349548,47.790088776233496,-122.73780034398887
10192,Washington,1990,CO,49.75244755244755,47.15062055174825,-120.8491903951049
10193,Washington,1990,Ozone,44.31674208144796,47.55070745248869,-121.88094562217195
10194,Washington,1990,PM10,33.737094837935174,46.80605306602641,-120.85116351020407
10195,Washington,1990,PM2.5,51.833333333333336,47.14000000000001,-122.3003
10196,Washington,1990,SO2,56.01416048550236,47.72015497909643,-122.70121540053944
10197,Washington,1991,CO,51.51963746223565,47.12328391389728,-120.87617439728096
10198,Washington,1991,Ozone,40.592720970537265,47.332535166377816,-121.69138163258233
10199,Washington,1991,PM10,36.132984293193715,46.72344951832461,-120.71701131099476
10200,Washington,1991,PM2.5,45.72727272727273,47.13999999999999,-122.30030000000001
10201,Washington,1991,SO2,53.79986431478969,47.80489037584804,-122.64198800610583
