year,state,AverageTemperature
2001,Mississippi,18.16225
2001,Missouri,13.57725
2001,Montana,6.581
2001,Nebraska,10.420250000000001
2001,Nevada,10.878166666666667
2001,New Hampshire,7.272750000000001
2001,New Jersey,11.940083333333334
2001,New Mexico,12.7415
2001,New York,8.922833333333333
2001,North Carolina,15.64925
2001,North Dakota,5.998000000000001
2001,Ohio,11.732666666666667
2001,Oklahoma,16.41058333333333
2001,Oregon,8.882666666666667
2001,Pennsylvania,10.52375
2001,Rhode Island,10.501416666666666
2001,South Carolina,17.894583333333333
2001,South Dakota,8.419749999999999
2001,Tennessee,14.884833333333333
2001,Texas,18.82975
2001,Utah,9.655916666666666
2001,Vermont,7.117583333333333
2001,Virginia,13.741166666666667
2001,Washington,8.284
2001,West Virginia,12.024333333333333
