"year","state","numcol","yieldpercol","totalprod","stocks","priceperlb","prodvalue","CO","NO2","Ozone","SO2","PM10","PM2.5","ALMONDS","APPLES","APRICOTS","AVOCADOS","PEACHES","PLUMS","SUNFLOWER","CHERRIES","STRAWBERRIES","BANANAS","BLACKBERRIES","total_food","temperature"
1981,"IA",NA,NA,NA,NA,NA,NA,50.8664091241374,14.6755952380952,30.5850125761273,42.8919167383156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"ID",NA,NA,NA,NA,NA,NA,59.9356070127331,NA,NA,92.62573496482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"IL",NA,NA,NA,NA,NA,NA,48.0695263275376,60.6516594516595,37.3817460597268,64.6681234103014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"IN",NA,NA,NA,NA,NA,NA,54.8198912198912,46.99580938978,53.875095561964,72.9508424477744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"KS",NA,NA,NA,NA,NA,NA,33.7983358298787,60.9444444444444,45.782412893162,99.7388684550469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"KY",NA,NA,NA,NA,NA,NA,42.4570369361284,44.0309825225962,45.2434528936456,76.4442934526662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"LA",NA,NA,NA,NA,NA,NA,46.5700704524234,41.7644310499728,49.9183307884012,34.8947778226742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"MA",NA,NA,NA,NA,NA,NA,70.2395413109422,62.49613772841,50.2163317766056,53.4381013021794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"MD",NA,NA,NA,NA,NA,NA,73.1975637534528,50.2267831273726,50.1317704695802,65.8860980846119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"ME",NA,NA,NA,NA,NA,NA,37.5595238095238,25,43.6076750279098,59.1134764331981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"MI",NA,NA,NA,NA,NA,NA,44.0340215340215,57.6281938241497,43.8078696177873,60.2790993973405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"MN",NA,NA,NA,NA,NA,NA,53.9932291926993,47.6339430945453,31.9227385005529,44.5390097420965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"MO",NA,NA,NA,NA,NA,NA,37.5188331425174,63.2274322899323,51.7370020615845,62.5960268219897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"MS",NA,NA,NA,NA,NA,NA,25.6078189300412,43.7269841269841,48.9867237515783,14.1365553410661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"MT",NA,NA,NA,NA,NA,NA,42.7559893570139,27.0709890255943,35.6548298001425,72.2326887261069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"NC",NA,NA,NA,NA,NA,NA,47.4158060072697,NA,55.3527845241223,86.4579957255755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"ND",NA,NA,NA,NA,NA,NA,NA,29.0515873015873,36.7304226682041,17.2123015837527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"NE",NA,NA,NA,NA,NA,NA,48.1787907873914,NA,33.343077084584,58.0666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"NH",NA,NA,NA,NA,NA,NA,68.0274595270769,NA,36.9794086893381,63.0179952764746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"NJ",NA,NA,NA,NA,NA,NA,46.2255432904462,55.1117857745438,59.0789900615359,64.8867216700907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"NM",NA,NA,NA,NA,NA,NA,37.0129953076565,52.4479365079365,46.7938180070265,98.2455436233208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"NV",NA,NA,NA,NA,NA,NA,54.339517970164,82.4752544324369,48.9453797101253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"NY",NA,NA,NA,NA,NA,NA,69.8942030896014,55.4197411907089,44.9513830907621,71.3169649283238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"OH",NA,NA,NA,NA,NA,NA,49.2998691699788,61.0206555347551,46.9248313162714,71.113908758446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"OK",NA,NA,NA,NA,NA,NA,58.5403572061467,49.6599000310302,48.5815030763475,70.6053379977722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"OR",NA,NA,NA,NA,NA,NA,57.0579765511984,69.86,33.8847912232815,88.6029418498168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"PA",NA,NA,NA,NA,NA,NA,49.5250811688312,49.0611315720282,50.8467709466178,72.2531015965134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"RI",NA,NA,NA,NA,NA,NA,59.874064171123,51.6953125,52.2871357436387,79.2502055947172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"SC",NA,NA,NA,NA,NA,NA,31.6288633276684,40,50.1940944256727,45.4189178185486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
