state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,yeildpercol,CO,NO2,Ozone,PM10,PM2.5,SO2
Michigan,73000.0,85.0,6205000.0,3475000.0,0.66,4095000.0,1999,,7.355704697986577,36.82857142857143,58.816209476309226,37.57142857142857,48.85749792874896,51.691542288557216
Minnesota,145000.0,82.0,11890000.0,3210000.0,0.61,7253000.0,1999,,16.593429158110883,36.11135371179039,38.282212086659065,21.19921875,49.73953488372093,41.04379562043796
Mississippi,18000.0,73.0,1314000.0,591000.0,0.54,710000.0,1999,,24.29032258064516,22.63800904977376,67.55014326647564,19.46268656716418,56.617504051863854,21.103174603174605
Missouri,24000.0,65.0,1560000.0,437000.0,0.68,1061000.0,1999,,30.75,36.00632911392405,71.60785576303928,35.93063583815029,54.277,53.59712230215828
Montana,122000.0,70.0,8540000.0,2135000.0,0.6,5124000.0,1999,,18.774147727272727,15.704545454545457,37.55191256830601,23.31651619755709,41.43333333333333,52.50179640718563
Nebraska,58000.0,77.0,4466000.0,1965000.0,0.61,2724000.0,1999,,26.86190476190476,,39.93009118541033,47.64383561643836,40.43452380952381,67.2
Nevada,9000.0,45.0,405000.0,271000.0,1.54,624000.0,1999,,42.46666666666667,64.9795918367347,56.71189979123173,33.10071942446043,58.9,
New Jersey,10000.0,44.0,440000.0,154000.0,0.57,251000.0,1999,,23.270731707317072,48.248315688161696,60.53521605988431,37.5,56.4599358974359,37.51383399209486
New Mexico,15000.0,52.0,780000.0,476000.0,0.77,601000.0,1999,,9.789808917197451,41.099236641221374,54.43341869398208,17.699468085106382,32.85085227272727,81.44074074074074
New York,69000.0,70.0,4830000.0,2077000.0,0.66,3188000.0,1999,,21.08823529411765,44.94378698224852,50.38856277220224,25.125,51.56042031523643,50.16311080523056
North Carolina,9000.0,46.0,414000.0,104000.0,1.62,671000.0,1999,,22.737704918032787,38.58536585365854,67.52282419838888,20.32307692307692,55.32189287571503,20.10122358175751
North Dakota,255000.0,105.0,26775000.0,8836000.0,0.59,15797000.0,1999,,,12.935897435897436,36.09067188519244,11.574074074074074,34.82122905027933,20.58108108108108
Ohio,20000.0,74.0,1480000.0,784000.0,0.72,1066000.0,1999,,16.238095238095237,45.431372549019606,68.78380187416332,25.61065573770492,63.423514538558784,44.17312579415502
Oklahoma,6000.0,45.0,270000.0,49000.0,1.34,362000.0,1999,,24.5,21.80290644868301,57.382497541789576,26.22,46.96067415730337,35.60361613351878
